from,to,comment
"Doppelkurve (zunaechst links)",VZ 105-10
"Doppelkurve (zunaechst rechts)",VZ 105-20
"Fahrbahnverengung (links)",VZ 121-20
"Fahrbahnverengung (rechts)",VZ 121-10
"Fahrbahnverengung (beidseitig)",VZ 120
"Kurve (links)",VZ 103-10
"Kurve (rechts)",VZ 103-20
"Lichtzeichenanlage",VZ 131
"Fussgaengerueberweg (Gefahrenzeichen)",VZ 101-11
"Gefahrenzeichen",VZ 101
